songid,year,week_position
Jingle Bell RockBobby Helms,1958,35
White ChristmasBing Crosby,1958,66
Jingle Bell RockBobby Helms,1959,45
White ChristmasBing Crosby,1959,59
White ChristmasBing Crosby,1960,26
Jingle Bell RockBobby Helms,1960,36
White ChristmasBing Crosby,1961,12
Jingle Bell RockBobby Helms,1961,41
White ChristmasBing Crosby,1962,12
Jingle Bell RockBobby Helms,1962,41
If We Make It Through DecemberMerle Haggard,1973,50
If We Make It Through DecemberMerle Haggard,1974,28
Grandma Got Run Over By A ReindeerElmo & Patsy,1998,87
The Christmas ShoesNewSong,2000,68
The Christmas ShoesNewSong,2001,42
Jingle Bell RockBobby Helms,2016,35
Jingle Bell RockBobby Helms,2017,29
Feliz NavidadJose Feliciano,2017,44
